,Authors,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
1128,"Hall, Tom",Tom Hall,male,United States,1862.0,1900.0,"OpenLibrary, Wikidata",True,1
1129,"Dobie, Charles Caldwell",Charles Caldwell Dobie,male,American,1881.0,1943.0,"Wikipedia, OpenLibrary",True,1
1130,"Colum, Padraic",Padraic Colum,male,Irish,1881.0,1972.0,"Wikipedia, OpenLibrary",True,1
1131,"Spurgeon, Caroline F. E. (Caroline Frances Eleanor)",Caroline Frances Eleanor Spurgeon,female,English,1869.0,1942.0,"OpenLibrary, Wikidata",True,1
1132,"Kennedy, Charles Rann",Charles Rann Kennedy,male,United States,1871.0,1950.0,"OpenLibrary, Wikidata",True,1
1133,"Freeman, John",John Freeman,male,United Kingdom of Great Britain and Ireland,1974.0,1900.0,"OpenLibrary, Wikidata",True,1
1134,"Keller, Helen",Helen Keller,female,American,1880.0,1968.0,Wikipedia,True,1
1135,"Traill, H. D. (Henry Duff)",Henry Duff Traill,male,British,1842.0,1900.0,"Wikipedia, Wikidata",True,1
1136,"Wordsworth, William",William Wordsworth,male,English,1770.0,1850.0,"Wikipedia, Wikidata",True,1
1137,"Whitney, A. D. T. (Adeline Dutton Train)",Adeline Dutton Train Whitney,female,American,1824.0,1906.0,"Wikipedia, OpenLibrary",True,1
1138,"Ingelow, Jean",Jean Ingelow,female,English,1820.0,1897.0,Wikipedia,True,1
1139,"De Forest, John William",John William De Forest,male,American,1826.0,1906.0,Wikipedia,True,1
1140,"Lawson, Thomas William",Thomas William Lawson,male,American,1857.0,1925.0,"Wikipedia, OpenLibrary",True,1
1141,"Stoddard, Elizabeth",Elizabeth Stoddard,female,American,1823.0,1902.0,"Wikipedia, Wikidata",True,1
1142,"Slosson, Annie Trumbull",Annie Trumbull Slosson,female,American,1838.0,1926.0,Wikipedia,True,1
1143,"Van Doren, Carl",Carl Van Doren,male,United States,1885.0,1950.0,"OpenLibrary, Wikidata",True,1
1144,"Fields, James Thomas",James Thomas Fields,male,American,1817.0,1881.0,Wikipedia,True,1
1145,"Kenyon, Camilla",Camilla Kenyon,female,American,1876.0,1957.0,"Wikipedia, Wikidata",True,1
1146,"Stellman, Louis J. (Louis John)",Louis John Stellman,male,United States,1877.0,1961.0,"OpenLibrary, Wikidata",True,1
1147,"Melville, Herman",Herman Melville,male,American,1819.0,1891.0,Wikipedia,True,1
1148,"Webster, John",John Webster,male,English,1580.0,1632.0,Wikipedia,True,1
1149,"Thompson, Slason",Slason Thompson,male,Canada,1849.0,1935.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1150,"Tietjens, Eunice",Eunice Tietjens,female,American,1884.0,1944.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1151,"Grant, Ethel Watts Mumford",Ethel Watts Mumford Grant,female,American,1878.0,1940.0,"Wikipedia, OpenLibrary",True,1
1152,"Whistler, Charles W. (Charles Watts)",Charles Watts Whistler,male,English,1856.0,1913.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1153,"Watts-Dunton, Theodore",Theodore Watts-Dunton,male,English,1832.0,1914.0,"Wikipedia, OpenLibrary",True,1
1154,"Parker, Lester Shepard",Lester Shepard Parker,male,Canadian,1980.0,2011.0,Wikipedia,True,1
1155,"Jones, Henry, Sir","Henry, Jones",male,Irish,1851.0,1925.0,OpenLibrary,True,1
1156,"Patmore, Coventry",Coventry Patmore,male,English,1823.0,1896.0,Wikipedia,True,1
1157,"Anderson, Nephi",Nephi Anderson,male,American,1865.0,1923.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1158,"Lynd, Robert",Robert Lynd,male,Irish,1879.0,1949.0,"Wikipedia, Wikidata",True,1
1159,"Newbolt, Henry John, Sir","Henry John, Newbolt",male,English,1862.0,1938.0,Wikipedia,True,1
1160,"Cobban, J. Maclaren (James Maclaren)",James Maclaren Cobban,male,"Kingdom of England, Kingdom of Scotland",1849.0,1903.0,"OpenLibrary, Wikidata",True,1
1161,"Chamberlain, George Agnew",George Agnew Chamberlain,male,American,1879.0,1966.0,"Wikipedia, OpenLibrary",True,1
1162,"Runkle, Bertha",Bertha Runkle,female,American,1879.0,1958.0,"Wikipedia, OpenLibrary",True,1
1163,"Brooke, Stopford A. (Stopford Augustus)",Stopford Augustus Brooke,male,Irish,1832.0,1916.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1164,"O'Donnell, Elliott",Elliott O'Donnell,male,English,1872.0,1965.0,"Wikipedia, OpenLibrary",True,1
1165,"Niles, Henry Thayer",Henry Thayer Niles,male,,1825.0,1901.0,"OpenLibrary, Wikidata",True,1
1166,"Adams, Henry",Henry Adams,male,"American, English",1838.0,1918.0,Wikipedia,True,1
1167,"Lewis, Charlton M. (Charlton Miner)",Charlton Miner Lewis,male,"American, English",1866.0,1923.0,Wikipedia,True,1
1168,"Mather, Marshall",Marshall Mather,male,,1851.0,1916.0,"OpenLibrary, Wikidata",True,1
1169,"Lang, Jean ",Jean Lang,male,"German, American",1890.0,1976.0,Wikipedia,True,1
1170," Lang, John",John Lang,male,Australia,1972.0,1975.0,"OpenLibrary, Wikidata",True,1
1171,"Wentworth, Marion Craig",Marion Craig Wentworth,female,American,1872.0,1942.0,Wikipedia,True,1
1172,"Herford, C. H. (Charles Harold)",Charles Harold Herford,male,"United Kingdom, United Kingdom of Great Britain and Ireland",1853.0,1931.0,"OpenLibrary, Wikidata",True,1
1173,"Adams, Francis A. (Francis Alexandre)",Francis Alexandre Adams,male,United States,1874.0,1975.0,"OpenLibrary, Wikidata",True,1
1174,"Talmage, T. De Witt (Thomas De Witt)",Thomas De Witt Talmage,male,American,1832.0,1902.0,"OpenLibrary, Wikidata",True,1
1175,"Porter, Charlotte (Charlotte Endymion) ",Charlotte Endymion Porter,female,American,1859.0,1942.0,"Wikipedia, OpenLibrary",True,1
1176," Clarke, Helen A. (Helen Archibald)",Helen Archibald Clarke,female,"American, British",1860.0,1926.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1177,"Craik, Dinah Maria Mulock",Dinah Maria Mulock Craik,female,English,1826.0,1887.0,Wikipedia,True,1
1178,"Goss, Charles Frederic",Charles Frederic Goss,male,American,1852.0,1930.0,"Wikipedia, OpenLibrary",True,1
1179,"Westall, William",William Westall,male,United Kingdom,1781.0,1850.0,"OpenLibrary, Wikidata",True,1
1180,"Roberts, Lloyd",Lloyd Roberts,male,United States,1884.0,1966.0,"OpenLibrary, Wikidata",True,1
1181,"Laidlaw, A. H. (Alexander Hamilton)",Alexander Hamilton Laidlaw,,,1828.0,1908.0,OpenLibrary,True,1
1182,"Ford, Ford Madox ",Ford Madox Ford,male,"English, American",1873.0,1939.0,"Wikipedia, Wikidata",True,1
1183," Conrad, Joseph",Joseph Conrad,male,"Polish, British, English",1857.0,1924.0,Wikipedia,True,1
1184,"Minto, William",William Minto,male,Scottish,1845.0,1893.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1185,"Runciman, Thomas",Thomas Runciman,male,"British, English",1903.0,2000.0,Wikipedia,True,1
1186,"Miller, Freeman Edwin",Freeman Edwin Miller,male,American,1864.0,1951.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1187,"Glass, Nancy Rebecca Campbell",Nancy Rebecca Campbell Glass,female,American,1891.0,1968.0,Wikipedia,True,1
1188,"Warfield, Catherine A. (Catherine Ann)",Catherine Ann Warfield,female,American,1816.0,1877.0,Wikipedia,True,1
1189,"Bernays, Edward L. ",Edward L. Bernays,male,American,1891.0,1995.0,OpenLibrary,True,1
1190," Kingsley, Walter J. ",Walter J. Kingsley,,American,,1929.0,"Wikipedia, Wikidata",True,1
1191," Hoffenstein, Samuel ",Samuel Hoffenstein,male,"Russian, American",1889.0,1947.0,"Wikipedia, OpenLibrary",True,1
1192," Pemberton, Murdock",Murdock Pemberton,male,,1888.0,1982.0,"OpenLibrary, Wikidata",True,1
1193,"Coppée, Henry",Henry Coppée,male,American,1821.0,1895.0,Wikipedia,True,1
1194,"Swinnerton, Frank",Frank Swinnerton,male,English,1884.0,1982.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1195,"Gordon, Hanford Lennox",Hanford Lennox Gordon,male,United States,1836.0,1920.0,"OpenLibrary, Wikidata",True,1
1196,"Beede, Clara Frances McKee",Clara Frances McKee Beede,,,,,,False,1
1197,"Holland, J. G. (Josiah Gilbert)",Josiah Gilbert Holland,male,American,1819.0,1881.0,"Wikipedia, Wikidata",True,1
1198,"Conquest, Joan",Joan Conquest,female,United Kingdom,1883.0,1941.0,Wikidata,True,1
1199,"Adams, Frederick Upham",Frederick Upham Adams,male,American,1859.0,1921.0,Wikipedia,True,1
1200,"Falconer, Lanoe",Lanoe Falconer,female,United Kingdom of Great Britain and Ireland,1848.0,1908.0,"OpenLibrary, Wikidata",True,1
1201,"Du Bois, W. E. B. (William Edward Burghardt)",William Edward Burghardt Du Bois,female,American,1868.0,1963.0,"Wikipedia, OpenLibrary",True,1
1202,"Miles, George H. (George Henry)",George Henry Miles,male,American,1824.0,1871.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1203,"Alden, Raymond MacDonald ",Raymond MacDonald Alden,,,1873.0,1924.0,OpenLibrary,True,1
1204," McFadden, Elizabeth A. (Elizabeth Apthorp)",Elizabeth Apthorp McFadden,,,1875.0,,OpenLibrary,True,1
1205,"Beale, Anne",Anne Beale,female,English,1816.0,1900.0,Wikipedia,True,1
1206,"Tuckerman, Bayard",Bayard Tuckerman,male,United States,1855.0,1923.0,"OpenLibrary, Wikidata",True,1
1207,"Johnston, Harry",Harry Johnston,male,United Kingdom of Great Britain and Ireland,1858.0,1927.0,"OpenLibrary, Wikidata",True,1
1208,"Doubleday, W. E. (William Elliott)",William Elliott Doubleday,male,"United Kingdom, United Kingdom of Great Britain and Ireland",1865.0,1959.0,"OpenLibrary, Wikidata",True,1
1209,"Hitchcock, Mary",Mary Hitchcock,female,United States,1943.0,1920.0,"OpenLibrary, Wikidata",True,1
1210,"Abercrombie, Lascelles",Lascelles Abercrombie,male,"British, English",1881.0,1938.0,Wikipedia,True,1
1211,"Welsh, James C.",James C. Welsh,male,"Scottish, Welsh",1880.0,1954.0,"Wikipedia, OpenLibrary",True,1
1212,"Tarkington, Booth ",Booth Tarkington,male,American,1869.0,1946.0,Wikipedia,True,1
1213," Wilson, Harry Leon",Harry Leon Wilson,male,American,1867.0,1939.0,"Wikipedia, OpenLibrary",True,1
1214,"Adams, J. S., Mrs.","J. S., Adams",female,,,,OpenLibrary,True,1
1215,"Holley, Horace",Horace Holley,male,United States,1887.0,1960.0,"OpenLibrary, Wikidata",True,1
1216,"Kunz, George Frederick",George Frederick Kunz,male,United States,1856.0,1932.0,"OpenLibrary, Wikidata",True,1
1217,"Wagner, Madge Morris",Madge Morris Wagner,female,American,1862.0,1924.0,"Wikipedia, OpenLibrary",True,1
1218,"Reeve, Arthur B. (Arthur Benjamin) ",Arthur Benjamin Reeve,male,American,1880.0,1936.0,Wikipedia,True,1
1219," Grey, John W.",John W. Grey,male,American,1885.0,1964.0,"Wikipedia, Wikidata",True,1
1220,"Godwin, William",William Godwin,male,English,1756.0,1836.0,Wikipedia,True,1
1221,"Broadhurst, George Howells ",George Howells Broadhurst,male,"American, Anglo-American",1866.0,1952.0,"Wikipedia, OpenLibrary",True,1
1222,"Miller, John",John Miller,male,British,1937.0,2022.0,"OpenLibrary, Wikidata",True,1
1223,"Pedler, Margaret",Margaret Pedler,female,British,1877.0,1948.0,"Wikipedia, Wikidata",True,1
1224,"Stoddart, Thomas Tod",Thomas Tod Stoddart,male,Scottish,1810.0,1880.0,"Wikipedia, OpenLibrary",True,1
1225,"Pickett, La Salle Corbell",La Salle Corbell Pickett,,American,1848.0,1931.0,"Wikipedia, OpenLibrary",True,1
1226,"Hagedorn, Hermann",Hermann Hagedorn,male,American,1882.0,1964.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1227,"Moore, Arthur ",Arthur Moore,male,United Kingdom of Great Britain and Ireland,1666.0,1730.0,"OpenLibrary, Wikidata",True,1
1228," Dowson, Ernest Christopher",Ernest Christopher Dowson,male,English,1867.0,1900.0,Wikipedia,True,1
1229,"Ball, Margaret",Margaret Ball,female,Irish,1515.0,1584.0,Wikipedia,True,1
1230,"Egbert, H. M.",H. M. Egbert,male,"English, British",1879.0,1960.0,"Wikipedia, OpenLibrary",True,1
1231,"Marzials, Frank T. (Frank Thomas), Sir",Frank Thomas Marzials,male,"French, British",1840.0,1912.0,"Wikipedia, OpenLibrary",True,1
1232,"Murray, R. F. (Robert Fuller)",Robert Fuller Murray,male,American,1863.0,1893.0,Wikipedia,True,1
1233,"Evans, Caradoc",Caradoc Evans,male,Welsh,1879.0,1945.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1234,"Allingham, William",William Allingham,male,Irish,1824.0,1889.0,"Wikipedia, OpenLibrary",True,1
1235,"Goodwin, C. C. (Charles Carroll)",Charles Carroll Goodwin,male,United States,1832.0,1917.0,Wikidata,True,1
1236,"Foley, James W. (James William)",James William Foley,male,American,1973.0,2014.0,Wikipedia,True,1
1237,"Von Hutten, Bettina",Bettina Von Hutten,female,"American, German",1874.0,1957.0,"Wikipedia, OpenLibrary",True,1
1238,"Cumming, R. D. (Robert Dalziel)",Robert Dalziel Cumming,,,1871.0,,OpenLibrary,True,1
1239,"Parker, Lottie Blair ",Lottie Blair Parker,female,American,1858.0,1937.0,Wikipedia,True,1
1240," Grismer, Joseph Rhode",Joseph Rhode Grismer,male,American,1849.0,1922.0,Wikipedia,True,1
1241,"Smith, Horace",Horace Smith,male,United States,1779.0,1849.0,"OpenLibrary, Wikidata",True,1
1242,"Earle, John",John Earle,male,Kingdom of England,1601.0,1665.0,"OpenLibrary, Wikidata",True,1
1243,"Viereck, George Sylvester",George Sylvester Viereck,male,"American, German",1884.0,1962.0,Wikipedia,True,1
1244,"Todhunter, John",John Todhunter,male,Irish,1839.0,1916.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1245,"Alma-Tadema, Laurence",Laurence Alma-Tadema,male,British,1836.0,1912.0,Wikipedia,True,1
1246,"Rorie, David",David Rorie,male,,1867.0,1946.0,"Wikipedia, OpenLibrary",True,1
1247,"Bellinger, Martha Idell Fletcher",Martha Idell Fletcher Bellinger,,,1870.0,,OpenLibrary,True,1
1248,"Laughlin, Clara E. (Clara Elizabeth)",Clara Elizabeth Laughlin,female,American,1873.0,1941.0,Wikipedia,True,1
1249,"Campbell, John",John Campbell,male,United States,1910.0,1794.0,"OpenLibrary, Wikidata",True,1
1250,"Ross, Robert Baldwin",Robert Baldwin Ross,male,"Canada, United Kingdom",1869.0,1918.0,"OpenLibrary, Wikidata",True,1
1251,"Westcott, Edward Noyes",Edward Noyes Westcott,male,American,1846.0,1898.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1252,Pansy ,Pansy,male,United States,1841.0,1930.0,"OpenLibrary, Wikidata",True,1
1253," Livingston, C. M., Mrs.","C. M., Livingston",female,,,,OpenLibrary,True,1
1254,"Austen-Leigh, James Edward",James Edward Austen-Leigh,female,,1799.0,1874.0,OpenLibrary,True,1
1255,"Warner, Susan ",Susan Warner,female,American,1819.0,1885.0,Wikipedia,True,1
1256," Warner, Anna Bartlett",Anna Bartlett Warner,female,American,1824.0,1915.0,"Wikipedia, OpenLibrary",True,1
1257,"Palgrave, Francis Turner",Francis Turner Palgrave,male,British,1824.0,1897.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1258,"Ward, Wilfrid, Mrs.","Wilfrid, Ward",female,,1856.0,1916.0,OpenLibrary,True,1
1259,"Jerrold, Walter",Walter Jerrold,male,English,1865.0,1929.0,"Wikipedia, Wikidata",True,1
1260,"Aldrich, Mildred",Mildred Aldrich,female,"American, French",1853.0,1928.0,Wikipedia,True,1
1261,"Bowling, Edward Woodley",Edward Woodley Bowling,male,United Kingdom of Great Britain and Ireland,1837.0,1907.0,Wikidata,True,1
1262,"Silberrad, Una L.",Una L. Silberrad,female,British,1872.0,1955.0,Wikipedia,True,1
1263,"Hutton, Richard Holt",Richard Holt Hutton,male,English,1826.0,1897.0,"Wikipedia, OpenLibrary",True,1
1264,"Kingsley, Florence Morse ",Florence Morse Kingsley,female,American,1859.0,1937.0,"Wikipedia, OpenLibrary",True,1
1265," Freeman, Mary Eleanor Wilkins",Mary Eleanor Wilkins Freeman,female,American,1852.0,1930.0,Wikipedia,True,1
1266,"Mackay, Constance D'Arcy",Constance D'Arcy Mackay,female,American,1880.0,1966.0,"Wikipedia, Wikidata",True,1
1267,"Cleveland, Cecilia Pauline",Cecilia Pauline Cleveland,,,1850.0,,OpenLibrary,True,1
1268,"Bandelier, Adolph Francis Alphonse",Adolph Francis Alphonse Bandelier,male,"United States, Switzerland",1840.0,1914.0,"OpenLibrary, Wikidata",True,1
1269,"Harrison, Frederic",Frederic Harrison,male,"British, English",1831.0,1923.0,Wikipedia,True,1
1270,"Neilson, William Allan",William Allan Neilson,male,American,1869.0,1946.0,"Wikipedia, OpenLibrary",True,1
1271,"Abbott, Keene",Keene Abbott,male,,1876.0,1941.0,"OpenLibrary, Wikidata",True,1
1272,"Jordan, David Starr",David Starr Jordan,male,United States,1851.0,1931.0,"OpenLibrary, Wikidata",True,1
1273,"Murray, Roy Irving ",Roy Irving Murray,,,,,,False,1
1274," Andrews, Mary Raymond Shipman",Mary Raymond Shipman Andrews,female,American,1860.0,1936.0,Wikipedia,True,1
1275,"Sharp, Dallas Lore",Dallas Lore Sharp,male,American,1870.0,1929.0,"Wikipedia, Wikidata",True,1
1276,"Jacobs, W. W. (William Wymark) ",William Wymark Jacobs,male,English,1863.0,1943.0,Wikipedia,True,1
1277," Rock, Charles",Charles Rock,male,British,1866.0,1919.0,Wikipedia,True,1
1278,"Haney, John Louis",John Louis Haney,male,,1877.0,1960.0,"OpenLibrary, Wikidata",True,1
1279,"Wynne, Arnold",Arnold Wynne,,English,1880.0,,OpenLibrary,True,1
1280,"Reynolds, Katharine Yirsa",Katharine Yirsa Reynolds,,,1883.0,,OpenLibrary,True,1
1281,"Young, Edward",Edward Young,male,English,1683.0,1772.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1282,"Venable, William Henry",William Henry Venable,male,American,1836.0,1920.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1283,"Morison, James Cotter",James Cotter Morison,male,English,1832.0,1888.0,"Wikipedia, Wikidata",True,1
1284,"O'Reilly, John Boyle ",John Boyle O'Reilly,male,Irish,1844.0,1890.0,Wikipedia,True,1
1285," Grant, Robert ",Robert Grant,male,"Kingdom of Great Britain, United Kingdom of Great Britain and Ireland",1824.0,1900.0,"OpenLibrary, Wikidata",True,1
1286," Wheelwright, John T. (John Tyler) ",John Tyler Wheelwright,male,United States,1856.0,1925.0,"OpenLibrary, Wikidata",True,1
1287," Stimson, Frederic Jesup",Frederic Jesup Stimson,male,American,1855.0,1943.0,"Wikipedia, Wikidata",True,1
1288,"Marcin, Max",Max Marcin,male,"Polish, American",1879.0,1948.0,"Wikipedia, OpenLibrary",True,1
1289,"Gilbert, Rosa M. (Rosa Mulholland)",Rosa Mulholland Gilbert,female,Irish,1841.0,1921.0,Wikipedia,True,1
1290,"Foote, John Taintor",John Taintor Foote,male,American,1881.0,1950.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1291,"Luther, Mark Lee",Mark Lee Luther,,,1872.0,,OpenLibrary,True,1
1292,"Train, Arthur Cheney ",Arthur Cheney Train,male,American,1875.0,1945.0,Wikipedia,True,1
1293," Wood, Robert Williams",Robert Williams Wood,male,United States,1868.0,1955.0,"OpenLibrary, Wikidata",True,1
1294,"Fitch, George Hamlin",George Hamlin Fitch,male,English,1852.0,1925.0,"OpenLibrary, Wikidata",True,1
1295,"Crosby, Ernest",Ernest Crosby,male,American,1856.0,1907.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1296,"Strunsky, Simeon",Simeon Strunsky,male,"Russian, American",1879.0,1948.0,"Wikipedia, Wikidata",True,1
1297,"Oyen, Henry",Henry Oyen,male,United States,1883.0,1921.0,"OpenLibrary, Wikidata",True,1
1298,"Lawson, Alfred W. (Alfred William)",Alfred William Lawson,male,English,1869.0,1954.0,Wikipedia,True,1
1299,"Lounsbury, Thomas Raynesford",Thomas Raynesford Lounsbury,male,American,1838.0,1915.0,Wikipedia,True,1
1300,"Hall, Angelo",Angelo Hall,male,American,1983.0,1922.0,"Wikipedia, Wikidata",True,1
1301,"Disraeli, Benjamin, Earl of Beaconsfield","Benjamin, Earl of Beaconsfield Disraeli",male,British,1874.0,1880.0,Wikipedia,True,1
1302,"Fowler, Ellen Thorneycroft",Ellen Thorneycroft Fowler,female,English,1860.0,1929.0,Wikipedia,True,1
1303,"Hayward, Rachel",Rachel Hayward,female,Canadian,1965.0,,Wikipedia,True,1
1304,"Henry, Stuart Oliver",Stuart Oliver Henry,,French,,,OpenLibrary,True,1
1305,"Comfort, Will Levington ",Will Levington Comfort,male,American,1878.0,1932.0,Wikipedia,True,1
1306, Zamin Ki Dost,Zamin Ki Dost,female,American,1866.0,1947.0,"Wikipedia, OpenLibrary",True,1
1307,"Thompson, Charles Miner",Charles Miner Thompson,male,United States,1864.0,1941.0,"OpenLibrary, Wikidata",True,1
1308,"Hemenway, Hetty",Hetty Hemenway,,,1890.0,1961.0,OpenLibrary,True,1
1309,"Appleton, Everard Jack",Everard Jack Appleton,male,,1872.0,1931.0,"OpenLibrary, Wikidata",True,1
1310,"Hornblow, Arthur",Arthur Hornblow,,,1865.0,1942.0,OpenLibrary,True,1
1311,"Mayne, Rutherford",Rutherford Mayne,male,"British, Irish, American",1818.0,1883.0,Wikipedia,True,1
1312,"Osborne, Duffield",Duffield Osborne,male,American,1858.0,1917.0,"Wikipedia, Wikidata",True,1
1313,"Sheehan, Patrick Augustine",Patrick Augustine Sheehan,male,Irish,1852.0,1913.0,"Wikipedia, OpenLibrary",True,1
1314,"Lee, Gerald Stanley",Gerald Stanley Lee,male,American,1862.0,1944.0,Wikipedia,True,1
1315,Dum-Dum,Dum-Dum,male,Brazil,1869.0,1952.0,"OpenLibrary, Wikidata",True,1
1316,"Garrison, Theodosia Pickering",Theodosia Pickering Garrison,female,American,1874.0,1944.0,"Wikipedia, Wikidata",True,1
1317,"Brooke, Caris ",Caris Brooke,female,American,1977.0,1899.0,"Wikipedia, Wikidata",True,1
1318,"Sidgwick, Frank",Frank Sidgwick,male,,1879.0,1939.0,Wikidata,True,1
1319,"Blyth, James",James Blyth,male,United Kingdom of Great Britain and Ireland,1864.0,1933.0,"OpenLibrary, Wikidata",True,1
1320,"Rees, Arthur J. (Arthur John)",Arthur John Rees,male,Australian,1872.0,1942.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1321,"Peterson, Henry",Henry Peterson,male,United States,1818.0,1891.0,"OpenLibrary, Wikidata",True,1
1322,"Meredith, Ellis",Ellis Meredith,female,American,1865.0,1955.0,"Wikipedia, Wikidata",True,1
1323,"Field, Roswell Martin",Roswell Martin Field,male,United States,1851.0,1919.0,"OpenLibrary, Wikidata",True,1
1324," Browning, Elizabeth Barrett ",Elizabeth Barrett Browning,female,English,1806.0,1861.0,Wikipedia,True,1
1325," Eliot, George ",George Eliot,female,English,1819.0,1880.0,Wikipedia,True,1
1326," Shelley, Percy Bysshe",Percy Bysshe Shelley,male,"English, American",1792.0,1822.0,Wikipedia,True,1
1327,"Goldsmith, Milton",Milton Goldsmith,male,American,1861.0,1957.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1328,"Sheckley, Robert",Robert Sheckley,male,American,1928.0,2005.0,"Wikipedia, OpenLibrary",True,1
1329,"Binns, Ottwell",Ottwell Binns,male,British,1872.0,1935.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1330,"Gray, John",John Gray,male,American,1951.0,1875.0,"OpenLibrary, Wikidata",True,1
1331,"Lockwood, Frank, Sir","Frank, Lockwood",male,,1864.0,1948.0,OpenLibrary,True,1
1332,"Mayne, Ethel Colburn",Ethel Colburn Mayne,female,Irish,1865.0,1941.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1333,"Ker, W. P. (William Paton)",William Paton Ker,male,United Kingdom of Great Britain and Ireland,1855.0,1923.0,"OpenLibrary, Wikidata",True,1
1334,"Shairp, John Campbell",John Campbell Shairp,male,United Kingdom of Great Britain and Ireland,1819.0,1885.0,"OpenLibrary, Wikidata",True,1
1335,"Kent, Charles",Charles Kent,male,"United States, United Kingdom of Great Britain and Ireland",1857.0,1929.0,"OpenLibrary, Wikidata",True,1
1336," Kendall, May",May Kendall,female,English,1861.0,1943.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1337,"Ashford, Daisy",Daisy Ashford,female,English,1881.0,1972.0,"Wikipedia, OpenLibrary",True,1
1338,"FitzGerald, Edward",Edward FitzGerald,male,English,1809.0,1883.0,Wikipedia,True,1
1339,"McCarthy, Justin",Justin McCarthy,male,United States,1830.0,1912.0,"OpenLibrary, Wikidata",True,1
1340,"Moorhouse, Herbert Joseph",Herbert Joseph Moorhouse,male,,1882.0,,OpenLibrary,True,1
1341,"Goodwin, Maud Wilder",Maud Wilder Goodwin,female,American,1856.0,1935.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1342,"Ballantyne, R. M. (Robert Michael)",Robert Michael Ballantyne,male,Scottish,1825.0,1894.0,Wikipedia,True,1
1343,"Beeching, H. C. (Henry Charles)",Henry Charles Beeching,male,"English, British",1859.0,1919.0,"Wikipedia, Wikidata",True,1
1344,"Ambient, Mark",Mark Ambient,male,English,1860.0,1937.0,"Wikipedia, OpenLibrary, Wikidata",True,1
1345,"Caird, Mona",Mona Caird,female,English,1854.0,1932.0,Wikipedia,True,1
1346,"Barbour, A. Maynard (Anna Maynard)",Anna Maynard Barbour,female,American,1801.0,1941.0,"Wikipedia, Wikidata",True,1
1347,"Cornell, Fred C. (Frederick Carruthers)",Frederick Carruthers Cornell,male,English,1867.0,1921.0,"Wikipedia, Wikidata",True,1
1348,"Bailey, John Cann",John Cann Bailey,male,,1864.0,1931.0,OpenLibrary,True,1
1349,"Bronson, Edgar Beecher",Edgar Beecher Bronson,male,American,1856.0,1917.0,Wikipedia,True,1
1350,"Hopkins, Gerard Manley",Gerard Manley Hopkins,male,English,1844.0,1889.0,Wikipedia,True,1
1351,"Wilson, John Dover",John Dover Wilson,male,"British, English",1881.0,1969.0,"Wikipedia, OpenLibrary",True,1
1352,"Quigg, Lemuel Ely",Lemuel Ely Quigg,male,United States,1863.0,1919.0,"OpenLibrary, Wikidata",True,1
1353,"Custance, Olive",Olive Custance,female,English,1874.0,1944.0,Wikipedia,True,1
1354,"Runciman, Walter Runciman, Baron","Walter Runciman, Runciman",male,"British, English",1903.0,2000.0,Wikipedia,True,1
1355,"Lampman, Archibald",Archibald Lampman,male,"Canadian, English",1861.0,1899.0,"Wikipedia, OpenLibrary",True,1
1356,"Mukerji, Dhan Gopal",Dhan Gopal Mukerji,male,American,1890.0,1936.0,"Wikipedia, OpenLibrary",True,1
1357,"Fenollosa, Mary McNeil",Mary McNeil Fenollosa,female,American,1865.0,1954.0,Wikipedia,True,1
1358,"Weinbaum, Stanley G. (Stanley Grauman)",Stanley Grauman Weinbaum,male,American,1902.0,1935.0,Wikipedia,True,1
1359,"Romero, George A.",George A. Romero,male,"American, Canadian",1940.0,2017.0,Wikipedia,True,1
1360,"Trowbridge, J. T. (John Townsend)",John Townsend Trowbridge,male,American,1827.0,1916.0,"Wikipedia, Wikidata",True,1
1361,"Stoddard, Lorimer",Lorimer Stoddard,male,United States,1864.0,1901.0,"OpenLibrary, Wikidata",True,1
1362,"Hayes, Augustus Allen",Augustus Allen Hayes,male,United States,1837.0,1892.0,"OpenLibrary, Wikidata",True,1
